ID_RANK,Country,Happiness_score,Whisker_high,Whisker_low,Dystopia,GDP_pc,Social_support,Healthy_life_expectancy,freedom_to_choose,Generosity, Perceptions_of_corruption,,
110,Iran,4888,4995,4780,1427,1410,741,642,281,241,146,,
50,Kuwait*,6106,6235,5977,1621,1904,983,747,617,87,147,,
29,Spain,6476,6560,6392,1893,1808,1211,808,505,101,149,,
96,Algeria,5122,5215,5030,1744,1363,970,643,146,106,150,,
125,Eswatini Kingdom of*,4396,4607,4185,1688,1274,786,197,259,38,154,,
128,Madagascar*,4339,4530,4148,2148,670,645,378,202,143,154,,
21,Bahrain,6647,6779,6514,2092,1854,1029,625,693,199,155,,
40,Kazakhstan,6234,6330,6138,1860,1668,1220,611,584,134,157,,
138,Malawi,3750,3941,3560,1661,648,279,388,477,140,157,,
33,Malta,6447,6535,6359,1631,1838,1169,789,679,174,166,,
26,Taiwan Province of China,6512,6596,6429,2002,1897,1095,733,542,75,168,,
59,South Korea,5935,6021,5849,1656,1851,886,841,414,111,176,,
16,United States,6977,7065,6888,2214,1982,1182,628,574,220,177,,
69,Dominican Republic,5737,5873,5601,1751,1538,1003,577,606,84,179,,
86,Libya*,5330,5543,5118,1544,1476,943,606,477,106,179,,
25,Saudi Arabia,6523,6637,6409,2075,1870,1092,577,651,78,180,,
95,Laos,5140,5263,5018,1709,1239,654,479,679,197,184,,
94,Bangladesh,5155,5262,5049,1967,1060,614,581,622,125,187,,
3,Iceland,7557,7651,7464,2320,1936,1320,803,718,270,191,,
126,Myanmar,4394,4511,4277,877,1038,829,491,513,452,194,,
101,Mozambique,5048,5273,4823,2641,578,660,191,593,185,200,,
134,Jordan,4152,4276,4029,695,1324,724,675,476,58,200,,
19,Belgium,6805,6890,6720,2283,1907,1106,764,492,49,204,,
105,Georgia,4973,5079,4867,1583,1467,612,595,508,0,208,,
82,Armenia,5399,5519,5278,1654,1434,820,668,558,54,210,,
49,El Salvador,6120,6250,5990,2514,1265,768,607,666,89,212,,
45,Nicaragua,6165,6312,6017,2418,1105,1029,617,617,168,212,,
79,North Cyprus*,5467,5609,5325,1078,1815,888,819,523,130,213,,
54,Japan,6039,6119,5959,1487,1835,1089,866,537,7,218,,
115,Benin,4623,4754,4492,2458,932,64,335,479,127,230,,
53,Uzbekistan,6063,6178,5948,1913,1219,1092,600,716,283,240,,
24,United Arab Emirates,6576,6660,6492,1809,1998,980,633,702,204,250,,
129,Egypt,4288,4377,4198,856,1388,732,548,469,41,254,,
30,Uruguay,6474,6562,6386,1974,1615,1180,672,665,103,265,,
20,France,6687,6758,6615,1895,1863,1219,808,567,70,266,,
139,Tanzania,3702,3847,3558,735,848,597,425,578,248,270,,
65,Belarus*,5821,5950,5693,1811,1562,1157,629,342,40,282,,
83,Tajikistan,5377,5468,5287,1895,966,1005,518,572,118,304,,
11,Austria,7163,7237,7089,2148,1931,1165,774,623,193,329,,
17,United Kingdom,6943,7018,6867,1967,1867,1143,750,597,289,329,,
36,Estonia,6341,6415,6266,1442,1793,1232,728,689,123,333,,
12,Australia,7162,7244,7081,2011,1900,1203,772,676,258,341,,
92,Azerbaijan*,5173,5265,5082,1098,1458,1093,560,601,23,341,,
14,Germany,7034,7122,6947,2142,1924,1088,776,585,163,358,,
15,Canada,7025,7107,6943,1924,1886,1188,783,659,217,368,,
81,Hong Kong S.A.R. of China,5425,5501,5348,642,1957,954,942,400,147,383,,
6,Luxembourg*,7404,7501,7307,2042,2209,1155,790,700,120,388,,
13,Ireland,7041,7121,6961,1743,2129,1166,779,627,190,408,,
5,Netherlands,7415,7471,7359,2137,1945,1206,787,651,271,419,,
4,Switzerland,7512,7586,7437,2153,2026,1226,822,677,147,461,,
8,Norway,7365,7440,7290,1925,1997,1239,786,728,217,474,,
10,New Zealand,7200,7279,7120,1954,1852,1235,752,680,245,483,,
7,Sweden,7384,7454,7315,2003,1920,1204,803,724,218,512,,
2,Denmark,7636,7710,7563,2226,1953,1243,777,719,188,532,,
1,Finland,7821,7886,7756,2518,1892,1258,775,736,109,534,,
143,Rwanda*,3268,3462,3074,536,785,133,462,621,187,544,,
27,Singapore,6480,6569,6392,932,2149,1127,851,672,163,587,,
147,xx,,,,,,,,,,,,
